county,code,white_pop,rank
"Etowah County, AL",1055,"84,024",588
"Montgomery County, VA",51121,"83,979",589
"St. Croix, WI",55109,"83,534",590
"Crawford County, PA",42039,"83,395",591
"Roanoke County, VA",51161,"83,351",592
"Burleigh County, ND",38015,"83,296",593
"Craighead County, AR",5031,"83,094",594
"Garland County, AR",5051,"83,060",595
"Story County, IA",19169,"83,040",596
"Wood County, WV",54107,"83,014",597
"Dodge, WI",55027,"82,988",598
"Grafton, NH",33009,"82,896",599
"Ozaukee, WI",55089,"82,717",600
"Indiana County, PA",42063,"82,716",601
"Matanuska-Susitna Borough, AK",2170,"82,571",602
"Lawrence County, PA",42073,"82,545",603
"Platte County, MO",29165,"82,413",604
"Highlands County, FL",12055,"81,606",605
"Lauderdale County, AL",1077,"80,627",606
"Terrebonne Parish, LA",22109,"80,429",607
"Madison County, KY",21151,"80,101",608
"Jefferson, WI",55055,"79,778",609
"Comanche County, OK",40031,"79,469",610
"Buchanan County, MO",29021,"79,397",611
"Muskingum County, OH",39119,"79,381",612
"Victoria County, TX",48469,"78,863",613
"Christian County, MO",29043,"78,504",614
"Midland County, MI",26111,"78,157",615
"Clarke County, GA",13059,"77,967",616
"Cullman County, AL",1043,"77,946",617
"Josephine County, OR",41033,"77,710",618
"Lafourche Parish, LA",22057,"77,672",619
"Richmond County, GA",13245,"77,645",620
"Chemung County, NY",36015,"77,481",621
"Clearfield County, PA",42033,"77,296",622
"Moore County, NC",37125,"77,031",623
"Fayette County, GA",13113,"76,936",624
"Fairbanks North Star Borough, AK",2090,"76,617",625
"Benton County, OR",41003,"76,207",626
"Rockwall County, TX",48397,"76,141",627
"Manitowoc, WI",55071,"75,800",628
"St. Clair County, AL",1115,"75,738",629
"Bannock County, ID",16005,"75,560",630
"Florence County, SC",45041,"75,560",630
"Natrona County, WY",56025,"75,254",632
"Burke County, NC",37023,"75,155",633
"Frederick County, VA",51069,"75,113",634
"Twin Falls County, ID",16083,"74,926",635
"Bullitt County, KY",21029,"74,875",636
"Clinton County, NY",36019,"74,418",637
"Newport County, RI",44005,"74,140",638
"Wayne County, NC",37191,"74,099",639
"Calvert County, MD",24009,"73,873",640
"Floyd County, GA",13115,"73,768",641
"Charles County, MD",24017,"73,744",642
"Rockingham County, VA",51165,"73,682",643
"Orange County, TX",48361,"73,658",644
"Kosciusko County, IN",18085,"73,563",645
"Limestone County, AL",1083,"73,517",646
"Craven County, NC",37049,"73,456",647
"Cleveland County, NC",37045,"73,303",648
"Caldwell County, NC",37027,"73,059",649
"Scioto County, OH",39145,"73,052",650
"Cheshire, NH",33005,"72,930",651
"Howard County, IN",18067,"72,872",652
"Cascade County, MT",30013,"72,844",653
"Somerset County, PA",42111,"72,755",654
"Cayuga County, NY",36011,"72,587",655
"Clinton County, MI",26037,"72,543",656
"Mendocino County, CA",6045,"72,347",657
"Houston County, AL",1069,"72,332",658
"Cattaraugus County, NY",36009,"72,288",659
"Maury County, TN",47119,"72,150",660
"White County, AR",5145,"72,140",661
"Dallas County, IA",19049,"71,336",662
"Henderson County, TX",48213,"70,843",663
"Lincoln County, NC",37109,"70,542",664
"Putnam County, TN",47141,"70,453",665
"Hancock County, OH",39063,"70,392",666
"Wood, WI",55141,"69,994",667
"Hunt County, TX",48231,"69,967",668
"Nassau County, FL",12089,"69,760",669
"Ross County, OH",39141,"69,703",670
"Lewis County, WA",53041,"69,619",671
"Rockingham County, NC",37157,"69,614",672
"Anderson County, TN",47001,"69,363",673
"Walton County, GA",13297,"69,320",674
"Augusta County, VA",51015,"69,292",675
"Bedford + Bedford City, VA",51019,"69,167",676
"Bartholomew County, IN",18005,"69,108",677
"Wicomico County, MD",24045,"69,094",678
"Raleigh County, WV",54081,"68,855",679
"Floyd County, IN",18043,"68,841",680
"Polk County, OR",41053,"68,820",681
"Cape Girardeau County, MO",29031,"68,802",682
