county,code,labor_force,rank
"St. Croix, WI",55109,"50,667",573
"Tompkins County, NY",36109,"50,395",574
"Robeson County, NC",37155,"50,296",575
"Bradley County, TN",47011,"50,172",576
"Calvert County, MD",24009,"49,925",577
"Montgomery County, VA",51121,"49,863",578
"Grand Traverse County, MI",26055,"49,856",579
"Bartow County, GA",13015,"49,763",580
"Campbell County, KY",21037,"49,517",581
"Ozaukee, WI",55089,"49,473",582
"Cochise County, AZ",4003,"49,373",583
"Comanche County, OK",40031,"49,246",584
"Macon County, IL",17115,"49,202",585
"Roanoke County, VA",51161,"49,144",586
"Roanoke Independent City, VA",51770,"48,976",587
"Allen County, OH",39003,"48,897",588
"Geauga County, OH",39055,"48,802",589
"Nevada County, CA",6057,"48,659",590
"Rockwall County, TX",48397,"48,621",591
"Dodge, WI",55027,"48,607",592
"Vigo County, IN",18167,"48,600",593
"Grafton, NH",33009,"48,495",594
"Hardin County, KY",21093,"48,370",595
"Madison County, TN",47113,"48,256",596
"Laramie County, WY",56021,"48,162",597
"Benton County, OR",41003,"48,126",598
"Pottawattamie County, IA",19155,"48,034",599
"Columbiana County, OH",39029,"48,018",600
"Citrus County, FL",12017,"47,901",601
"LaPorte County, IN",18091,"47,624",602
"Cleveland County, NC",37045,"47,537",603
"Matanuska-Susitna Borough, AK",2170,"47,397",604
"Daviess County, KY",21059,"47,366",605
"Lenawee County, MI",26091,"47,363",606
"Terrebonne Parish, LA",22109,"47,102",607
"Cape May County, NJ",34009,"47,088",608
"Flathead County, MT",30029,"46,773",609
"Fairbanks North Star Borough, AK",2090,"46,708",610
"Douglas County, OR",41019,"46,572",611
"Flagler County, FL",12035,"46,377",612
"Frederick County, VA",51069,"46,296",613
"Buchanan County, MO",29021,"46,169",614
"Dallas County, IA",19049,"46,065",615
"Cowlitz County, WA",53015,"46,010",616
"Jefferson, WI",55055,"45,977",617
"Maury County, TN",47119,"45,784",618
"Sutter County, CA",6101,"45,739",619
"Tuscarawas County, OH",39157,"45,706",620
"Calhoun County, AL",1015,"45,582",621
"Jefferson County, NY",36045,"45,455",622
"Madison County, KY",21151,"45,448",623
"Monroe County, FL",12087,"45,317",624
"Grant County, WA",53025,"45,310",625
"Whitfield County, GA",13313,"45,297",626
"Rogers County, OK",40131,"45,043",627
"Walton County, GA",13297,"44,747",628
"Rockdale County, GA",13247,"44,641",629
"Portsmouth Independent City, VA",51740,"44,552",630
"Chelan County, WA",53007,"44,518",631
"Bartholomew County, IN",18005,"44,516",632
"Houston County, AL",1069,"44,411",633
"Ashtabula County, OH",39007,"44,321",634
"Newport County, RI",44005,"44,318",635
"Floyd County, GA",13115,"44,296",636
"Sumter County, SC",45085,"44,112",637
"Wayne County, NY",36117,"44,024",638
"Northumberland County, PA",42097,"43,683",639
"St. Lawrence County, NY",36089,"43,612",640
"Nash County, NC",37127,"43,584",641
"Suffolk Independent City, VA",51800,"43,492",642
"Christian County, MO",29043,"43,119",643
"Steuben County, NY",36101,"43,104",644
"Victoria County, TX",48469,"42,923",645
"Etowah County, AL",1055,"42,894",646
"Lincoln County, NC",37109,"42,232",647
"Marshall County, AL",1095,"42,108",648
"Manitowoc, WI",55071,"41,988",649
"Lauderdale County, AL",1077,"41,868",650
"Craven County, NC",37049,"41,845",651
"Hancock County, OH",39063,"41,822",652
"Lafourche Parish, LA",22057,"41,795",653
"Bannock County, ID",16005,"41,733",654
"Hunt County, TX",48231,"41,487",655
"Cabell County, WV",54011,"41,479",656
"Kosciusko County, IN",18085,"41,408",657
"Twin Falls County, ID",16083,"41,351",658
"Bullitt County, KY",21029,"41,337",659
"Navajo County, AZ",4017,"41,337",659
"Floyd County, IN",18043,"41,151",661
"Lapeer County, MI",26087,"41,114",662
"Rockingham County, NC",37157,"41,106",663
"Limestone County, AL",1083,"41,092",664
"Franklin County, WA",53021,"40,873",665
"Clinton County, MI",26037,"40,853",666
"Rockingham County, VA",51165,"40,837",667
"Lee County, MS",28081,"40,783",668
"Lawrence County, PA",42073,"40,603",669
"Burke County, NC",37023,"40,584",670
"Midland County, MI",26111,"40,489",671
"Cheshire, NH",33005,"40,461",672
"Garland County, AR",5051,"40,424",673
"Blue Earth County, MN",27013,"40,188",674
"Cape Girardeau County, MO",29031,"40,154",675
"Bastrop County, TX",48021,"40,124",676
"Mendocino County, CA",6045,"40,003",677
"Moore County, NC",37125,"39,922",678
"Franklin County, MA",25011,"39,904",679
"Glynn County, GA",13127,"39,838",680
"Portage, WI",55097,"39,814",681
"Muskingum County, OH",39119,"39,699",682
